Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
prologue_fd653275		세상엔 많은 백엔드 프레임워크들이 있다.	game/script.rpy	10	"[what]"
prologue_6a2df17e		Node.js, Spring boot, Django 등등...	game/script.rpy	11	"[what]"
prologue_fc9daeee		그 많고 좋은 프레임워크 들중 하필 내가 선택한 건 php라는 프레임워크다.	game/script.rpy	12	"[what]"
prologue_9e16037a		내가 만약 그날 다른 프레임워크를 선택했다면 내 인생이 조금은 달라졌을까?	game/script.rpy	14	"[what]"
prologue_d442947e		하지만 이제와선 늦은 후회다. 내 나이는 45. 이미 새로운 언어를 배우기엔 너무 늦은 나이다.	game/script.rpy	15	"[what]"
prologue_8c20d097	me	내가 다시 그때로 돌아갈 수만 있다면...	game/script.rpy	17	me "[what]"
prologue_713ac9f4		이현준은 습관처럼 중얼거렸다.	game/script.rpy	19	"[what]"
prologue_ae29e6d2		빠르게 변화하는 시대에 적응하지 못한 이현준은 자신에게 익숙한 php만 고집하다 결국 도태된 SI개발자가 되었다.	game/script.rpy	20	"[what]"
prologue_5eb51f03		그나마 다행인 점은 그가 예전에 만들어둔 학교 커뮤니티 사이트로 하루하루 벌어먹고 살 수 있었다는 점이었지만	game/script.rpy	21	"[what]"
prologue_93da4af6		새로운 대항마가 서비스가 나타나며 그것도 이젠 불가능 해졌다.	game/script.rpy	22	"[what]"
prologue_7da71831		이현준은 마음속으로 신세한탄하며 술을 마셨다.	game/script.rpy	24	"[what]"
prologue_0992419a		그때 갑자기 시야가 어지러워졌다. 유일한 자랑이 건강한 신체였던 이현준은 당황했다.	game/script.rpy	25	"[what]"
prologue_dab3c0d7	me	내가 술을 너무 많이 마..	game/script.rpy	27	me "[what]"
prologue_6387a11c		이현준은 생각을 잇지도 못한 채 쓰러졌다.	game/script.rpy	29	"[what]"
prologue_748c67c5	me	ㅎ..헉!	game/script.rpy	33	me "[what]"
prologue_80798fb0		이현준은 깜짝 놀라며 깨어났다. 머리가 살짝 어지러웠지만 특별히 아픈 곳은 없는 것 같았다. 이현준은 병원에 가서 건강검진이라도 받아봐야겠다고 생각했다.	game/script.rpy	35	"[what]"
prologue_08b91405		이현준은 자연스럽게 주머니에서 폰을 꺼냈다. 그런데 뭔가 이질감이 들었다.	game/script.rpy	36	"[what]"
prologue_bccec17a		이 폰은 내가 고등학생때 쓰던 Galaxy S10e가 아닌가? 순간 번뜩인 이현준은 주변을 둘러보았다.	game/script.rpy	38	"[what]"
prologue_cd6de589		방의 생김새. 창 밖의 풍경. 창 밖에 들리는 소리. 모든게 익숙하면서도 낯설었다.	game/script.rpy	40	"[what]"
prologue_28b3e64b		이현준은 떨리는 눈으로 휴대폰의 화면을 켰다.	game/script.rpy	42	"[what]"
prologue_9f160bf4		현실을 인지시키듯 휴대폰의 화면에는 2021년 3월 1일이 떠있었다.	game/script.rpy	43	"[what]"
prologue_292dc280		이현준이 처음으로 부산소프트웨어마이스터고에 입학한 날이다.	game/script.rpy	44	"[what]"
prologue_a651169f	me	내가 헛것을 보고있나?	game/script.rpy	46	me "[what]"
prologue_6362966a		이현준은 자신에게 닥친 상황을 믿지 않았다.	game/script.rpy	48	"[what]"
prologue_37d304a8		김영민, 홍지민 같은 악독한 녀석들이 나한테 장난치는 거라 생각했다.	game/script.rpy	49	"[what]"
prologue_99af7a30		하지만 시간이 흐를수록 점점 현실을 인지했다.	game/script.rpy	50	"[what]"
prologue_0bc3b70f	me	내가 회귀했구나.	game/script.rpy	52	me "[what]"
prologue_3c1e39dd		이현준은 자신에게 닥친 현실을 깨닫자 빠르게 해야할 것을 떠올렸다.	game/script.rpy	54	"[what]"
prologue_bc8d00ac	me	Spring boot를 공부한다.	game/script.rpy	56	me "[what]"
prologue_30ba802d		이현준은 php 개발자지만 근 25년 동안 백엔드 개발자로 근무했기 때문에 Docker, Kubernetes, Jenkins 등등 많은 백엔드 지식을 가지고 있었다.	game/script.rpy	58	"[what]"
prologue_ef89dda4		이현준은 이 지식들을 이용하면 자신이 세계최강의 고졸 개발자가 될 것이란걸 확신했다.	game/script.rpy	59	"[what]"
prologue_713cd0e3		심지어 미래에 성공한 플랫폼들을 알고 있기에 그 모든걸 자신이 가져갈 수 있다고 생각했다.	game/script.rpy	60	"[what]"
prologue_cf044a10	me	그 비참한 시절로 다신 돌아가지 않을테다.	game/script.rpy	62	me "[what]"
prologue_0e911515		이현준은 마음속으로 다짐하며 방 문을 나섰다.	game/script.rpy	65	"[what]"
school_freshman_54ab5446		입학이 끝나고 학교가 어느정도 진정되자 제 1차 전공동아리 선정 시간이 왔다.	game/script.rpy	70	"[what]"
school_freshman_f940a677		최은결, 전수향, 김태현, 홍진서, 임시온, 정수호... 감히 나의 BSM 프로젝트에 버스를 탄 놈들...	game/script.rpy	72	"[what]"
school_freshman_34384277		이현준은 그때를 회상하며 이를 갈았다. 모든걸 나 혼자 하던 그때를 생각하면 아직도 치가 떨린다. 심지어 전수향, 임시온은 전공 동아리 끝나고 정신을 차려서 더 괘씸하다.	game/script.rpy	73	"[what]"
school_freshman_46b925a0		자기 힘으로 아무것도 못하는 녀석들...	game/script.rpy	74	"[what]"
school_freshman_916b7bf6		하지만 이젠 다르다.	game/script.rpy	75	"[what]"
school_freshman_569027e7		학교에서 1등을 해봤자 아무런 의미가 없다는 걸 깨달았기에 빠르게 상용화 가능한 플랫폼을 개발 해야겠다고 생각했다.	game/script.rpy	76	"[what]"
school_freshman_39031fe6	me	처음은 그걸로 해볼까..	game/script.rpy	78	me "[what]"
